Linux 3.10.0-327.10.1.el7.x86_64 (storage14.cluster) 	02/23/2017 	_x86_64_	(28 CPU)

08:20:51 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:48:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:48:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:48:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:48:51 PM       en1     18.70      0.50      1.82      0.05      0.00      0.00     18.03
08:48:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:48:51 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:48:51 PM       ib0      0.18      0.18      0.02      0.02      0.00      0.00      0.00
Average:          en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
Average:          en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          en1     39.85     20.69      5.98      4.50      0.00      0.00     19.85
Average:          en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:           lo   3564.61   3564.61  69526.96  69526.96      0.00      0.00      0.00
Average:          ib0   8859.24   8678.32 140325.46 136918.59      0.00      0.00      0.00
